gene	category	row_splits
AT1G02074.TAIR10	test	test
AT1G02080.TAIR10	train	train
AT1G02090.TAIR10	train	train
AT1G02100.TAIR10	train	train,validation
AT1G02110.TAIR10	train	train
AT1G02120.TAIR10	validation	validation
AT1G02130.TAIR10	train	train
AT1G02140.TAIR10	train	train
AT1G02145.TAIR10	train	test,train
AT1G02150.TAIR10	validation	validation
AT1G02160.TAIR10	train	train
AT1G02170.TAIR10	train	train
AT1G02180.TAIR10	train	train
AT1G02190.TAIR10	train	train
AT1G02205.TAIR10	train	train
AT1G02210.TAIR10	test	test
AT1G02220.TAIR10	train	train
AT1G02230.TAIR10	train	train
AT1G02250.TAIR10	validation	validation
AT1G02260.TAIR10	test	test
AT1G02270.TAIR10	validation	validation
AT1G02280.TAIR10	train	train
AT1G02290.TAIR10	train	train
AT1G02300.TAIR10	train	train
AT1G02305.TAIR10	train	train
AT1G02310.TAIR10	validation	validation
AT1G02320.TAIR10	test	test
AT1G02330.TAIR10	train	train
AT1G02335.TAIR10	train	train
AT1G02340.TAIR10	validation	validation
AT1G02350.TAIR10	train	train
AT1G02360.TAIR10	train	train
AT1G02370.TAIR10	train	train
AT1G02380.TAIR10	train	train
AT1G02390.TAIR10	train	train
AT1G02391.TAIR10	train	train
AT1G02400.TAIR10	train	train
AT1G02405.TAIR10	test	test
AT1G02410.TAIR10	train	train
AT1G02420.TAIR10	train	train
AT1G02430.TAIR10	train	train
AT1G02440.TAIR10	train	train
AT1G02450.TAIR10	train	train
AT1G02460.TAIR10	train	train
AT1G02470.TAIR10	train	train
AT1G02475.TAIR10	train	train
AT1G02490.TAIR10	test	test
AT1G02500.TAIR10	train	train,validation
AT1G02510.TAIR10	train	train
AT1G02520.TAIR10	train	train
AT1G02530.TAIR10	train	train
AT1G02540.TAIR10	validation	validation
AT1G02550.TAIR10	train	train
AT1G02560.TAIR10	train	train
AT1G02570.TAIR10	train	train
AT1G02575.TAIR10	train	train
AT1G02580.TAIR10	train	train
AT1G02590.TAIR10	validation	validation
AT1G02610.TAIR10	train	train
AT1G02620.TAIR10	train	train
AT1G02630.TAIR10	validation	test,validation
AT1G02640.TAIR10	train	train
AT1G02650.TAIR10	train	train
AT1G02660.TAIR10	test	test
AT1G02670.TAIR10	train	train
AT1G02680.TAIR10	train	train
AT1G02690.TAIR10	train	train
AT1G02700.TAIR10	train	train
AT1G02710.TAIR10	test	test
AT1G02720.TAIR10	train	train
AT1G02730.TAIR10	train	train
AT1G02740.TAIR10	train	train
AT1G02750.TAIR10	train	train
AT1G02770.TAIR10	train	train
AT1G02780.TAIR10	train	train
AT1G02790.TAIR10	train	train
AT1G02800.TAIR10	test	test
AT1G02810.TAIR10	train	train
AT1G02813.TAIR10	train	train
AT1G02816.TAIR10	train	train
AT1G02820.TAIR10	train	train
AT1G02830.TAIR10	train	train
AT1G02840.TAIR10	train	test,train
AT1G02850.TAIR10	train	test,train
AT1G02860.TAIR10	train	train
AT1G02870.TAIR10	train	train
AT1G02880.TAIR10	train	test,train
AT1G02890.TAIR10	train	test,train
AT1G02900.TAIR10	train	train
AT1G02910.TAIR10	train	train
AT1G02920.TAIR10	train	train
AT1G02930.TAIR10	train	test,train
AT1G02940.TAIR10	train	train
AT1G02950.TAIR10	train	train
AT1G02960.TAIR10	train	test,train
AT1G02965.TAIR10	train	train
AT1G02970.TAIR10	test	test
AT1G02980.TAIR10	train	train
AT1G02990.TAIR10	train	train
AT1G03000.TAIR10	train	train
AT1G03010.TAIR10	train	train
AT1G03020.TAIR10	test	test
AT1G03022.TAIR10	train	train
AT1G03030.TAIR10	validation	validation
AT1G03040.TAIR10	train	train,validation
AT1G03050.TAIR10	train	train
AT1G03055.TAIR10	train	train
AT1G03060.TAIR10	train	train
AT1G03070.TAIR10	train	train
AT1G03080.TAIR10	train	train
AT1G03090.TAIR10	train	train,validation
AT1G03100.TAIR10	train	train
AT1G03103.TAIR10	train	train
AT1G03106.TAIR10	train	train
AT1G03110.TAIR10	train	train
AT1G03120.TAIR10	train	train
AT1G03130.TAIR10	train	train
AT1G03140.TAIR10	train	train
AT1G03150.TAIR10	validation	validation
AT1G03160.TAIR10	train	train
AT1G03170.TAIR10	train	train
AT1G03180.TAIR10	train	train,validation
AT1G03190.TAIR10	train	train,validation
AT1G03200.TAIR10	validation	validation
AT1G03210.TAIR10	train	train
AT1G03220.TAIR10	train	train
AT1G03230.TAIR10	train	train
AT1G03240.TAIR10	test	test
AT1G03250.TAIR10	train	train
AT1G03260.TAIR10	train	train
AT1G03270.TAIR10	train	train
AT1G03280.TAIR10	validation	validation
AT1G03290.TAIR10	train	train
AT1G03300.TAIR10	test	test
AT1G03310.TAIR10	train	test,train
AT1G03320.TAIR10	train	train
AT1G03330.TAIR10	test	test
AT1G03340.TAIR10	train	train
AT1G03350.TAIR10	train	train
AT1G03360.TAIR10	train	train
AT1G03365.TAIR10	train	train
AT1G03370.TAIR10	validation	validation
AT1G03380.TAIR10	train	train
AT1G03390.TAIR10	train	train
AT1G03400.TAIR10	train	train
AT1G03410.TAIR10	train	train
AT1G03430.TAIR10	test	test
AT1G03440.TAIR10	train	train
AT1G03445.TAIR10	test	test
AT1G03457.TAIR10	train	train,validation
AT1G03470.TAIR10	train	test,train
AT1G03475.TAIR10	test	test
AT1G03490.TAIR10	train	train
AT1G03510.TAIR10	validation	validation
AT1G03520.TAIR10	train	train
AT1G03530.TAIR10	train	train
AT1G03540.TAIR10	train	train
AT1G03550.TAIR10	train	train
AT1G03560.TAIR10	train	train
AT1G03590.TAIR10	train	train
AT1G03600.TAIR10	train	train
AT1G03610.TAIR10	train	train
AT1G03620.TAIR10	train	train
AT1G03630.TAIR10	train	train
AT1G03650.TAIR10	train	train
AT1G03660.TAIR10	validation	validation
AT1G03670.TAIR10	train	train
AT1G03680.TAIR10	train	train
AT1G03687.TAIR10	test	test
AT1G03700.TAIR10	test	test
AT1G03710.TAIR10	train	train
AT1G03720.TAIR10	train	train
AT1G03730.TAIR10	test	test
AT1G03740.TAIR10	train	train
AT1G03750.TAIR10	test	test
AT1G03760.TAIR10	test	test
AT1G03770.TAIR10	train	train,validation
AT1G03780.TAIR10	train	train
AT1G03790.TAIR10	train	train
AT1G03800.TAIR10	train	train
AT1G03810.TAIR10	train	train
AT1G03820.TAIR10	train	train
AT1G03830.TAIR10	train	train
AT1G03840.TAIR10	train	train
AT1G03850.TAIR10	train	train
AT1G03860.TAIR10	train	train,validation
AT1G03870.TAIR10	train	train
AT1G03880.TAIR10	train	train
AT1G03890.TAIR10	test	test
AT1G03900.TAIR10	train	train
AT1G03905.TAIR10	train	train
AT1G03910.TAIR10	train	train
AT1G03920.TAIR10	train	train
AT1G03930.TAIR10	train	train
AT1G03940.TAIR10	test	test
AT1G03950.TAIR10	train	train
AT1G03960.TAIR10	train	train
AT1G03970.TAIR10	train	train
AT1G03980.TAIR10	train	train
AT1G03982.TAIR10	validation	validation
AT1G03990.TAIR10	train	train
AT1G04000.TAIR10	train	train
AT1G04010.TAIR10	train	train
AT1G04020.TAIR10	train	test,train
AT1G04030.TAIR10	test	test
AT1G04040.TAIR10	train	train
AT1G04050.TAIR10	validation	validation
AT1G04070.TAIR10	train	train
AT1G04080.TAIR10	train	train,validation
AT1G04090.TAIR10	train	train
AT1G04100.TAIR10	train	train
AT1G04110.TAIR10	train	train
AT1G04120.TAIR10	train	train,validation
AT1G04130.TAIR10	validation	validation
AT1G04140.TAIR10	train	train
AT1G04150.TAIR10	test	test
AT1G04160.TAIR10	train	train
AT1G04170.TAIR10	train	train
AT1G04171.TAIR10	train	train
AT1G04180.TAIR10	train	train
AT1G04190.TAIR10	train	train
AT1G04200.TAIR10	train	train
AT1G04210.TAIR10	train	train
AT1G04220.TAIR10	train	train
AT1G04230.TAIR10	train	train
AT1G04240.TAIR10	train	train
AT1G04250.TAIR10	test	test
AT1G04260.TAIR10	train	train
AT1G04270.TAIR10	train	train
AT1G04280.TAIR10	train	train
AT1G04290.TAIR10	train	train
AT1G04300.TAIR10	train	train
AT1G04310.TAIR10	train	train
AT1G04330.TAIR10	train	train
AT1G04340.TAIR10	train	train
AT1G04350.TAIR10	train	train
AT1G04360.TAIR10	train	train
AT1G04370.TAIR10	test	test
AT1G04380.TAIR10	train	train
AT1G04390.TAIR10	test	test
AT1G04400.TAIR10	train	train
AT1G04410.TAIR10	train	train
AT1G04420.TAIR10	train	train
AT1G04430.TAIR10	train	train
AT1G04440.TAIR10	train	train
AT1G04445.TAIR10	train	train
AT1G04450.TAIR10	test	test
AT1G04470.TAIR10	train	train
AT1G04480.TAIR10	train	train
AT1G04490.TAIR10	train	train,validation
AT1G04500.TAIR10	train	train
AT1G04501.TAIR10	train	train
AT1G04510.TAIR10	train	train
AT1G04520.TAIR10	train	train
AT1G04530.TAIR10	train	train
AT1G04540.TAIR10	validation	validation
AT1G04550.TAIR10	train	train
AT1G04555.TAIR10	test	test
AT1G04560.TAIR10	train	train
AT1G04570.TAIR10	train	train
AT1G04580.TAIR10	test	test
AT1G04590.TAIR10	train	test,train
AT1G04600.TAIR10	train	train
AT1G04610.TAIR10	train	train
AT1G04620.TAIR10	validation	validation
AT1G04625.TAIR10	train	train
AT1G04630.TAIR10	train	train
AT1G04635.TAIR10	train	train
AT1G04640.TAIR10	train	train
AT1G04645.TAIR10	train	train
AT1G04650.TAIR10	train	train
AT1G04660.TAIR10	train	train
AT1G04670.TAIR10	train	train
AT1G04680.TAIR10	train	train
AT1G04684.TAIR10	test	test
AT1G04690.TAIR10	train	train
AT1G04700.TAIR10	train	train
AT1G04710.TAIR10	test	test
AT1G04730.TAIR10	test	test
AT1G04750.TAIR10	train	test,train
AT1G04760.TAIR10	train	train
AT1G04770.TAIR10	train	train
AT1G04778.TAIR10	train	train
AT1G04780.TAIR10	train	train
AT1G04790.TAIR10	train	train
AT1G04800.TAIR10	train	train
AT1G04810.TAIR10	train	train
AT1G04820.TAIR10	train	train
AT1G04830.TAIR10	train	test,train
AT1G04840.TAIR10	test	test
AT1G04850.TAIR10	train	train
AT1G04860.TAIR10	train	train
AT1G04870.TAIR10	train	test,train
AT1G04880.TAIR10	train	train
AT1G04890.TAIR10	train	train
AT1G04900.TAIR10	train	train
AT1G04910.TAIR10	train	train
AT1G04920.TAIR10	train	train
AT1G04930.TAIR10	train	train
AT1G04940.TAIR10	train	train
AT1G04945.TAIR10	train	train
AT1G04950.TAIR10	train	test,train
AT1G04960.TAIR10	train	train
AT1G04970.TAIR10	train	test,train
AT1G04980.TAIR10	train	train
AT1G04985.TAIR10	test	test
AT1G04990.TAIR10	train	train
AT1G05000.TAIR10	train	train
AT1G05010.TAIR10	validation	validation
AT1G05020.TAIR10	train	train
AT1G05030.TAIR10	train	train
AT1G05040.TAIR10	train	train
AT1G05055.TAIR10	test	test
AT1G05060.TAIR10	test	test
AT1G05065.TAIR10	train	train
AT1G05070.TAIR10	train	train
AT1G05080.TAIR10	train	train
AT1G05085.TAIR10	train	train
AT1G05090.TAIR10	train	train
AT1G05100.TAIR10	train	train
AT1G05120.TAIR10	train	train
AT1G05136.TAIR10	train	train
AT1G05140.TAIR10	train	train
AT1G05150.TAIR10	train	train
AT1G05160.TAIR10	train	train
AT1G05170.TAIR10	train	train
AT1G05180.TAIR10	train	test,train
AT1G05190.TAIR10	train	train
AT1G05200.TAIR10	train	test,train
AT1G05205.TAIR10	train	train
AT1G05210.TAIR10	train	train
AT1G05220.TAIR10	train	train
AT1G05230.TAIR10	validation	validation
AT1G05240.TAIR10	train	train
AT1G05250.TAIR10	train	train
AT1G05260.TAIR10	train	train
AT1G05270.TAIR10	validation	validation
AT1G05280.TAIR10	train	train
AT1G05290.TAIR10	train	train
AT1G05291.TAIR10	train	train
AT1G05300.TAIR10	validation	validation
AT1G05310.TAIR10	train	train
AT1G05320.TAIR10	train	train
AT1G05330.TAIR10	train	train
AT1G05340.TAIR10	train	train
AT1G05350.TAIR10	train	train
AT1G05360.TAIR10	train	train
AT1G05370.TAIR10	train	train
AT1G05380.TAIR10	validation	test,validation
AT1G05385.TAIR10	train	train
AT1G05400.TAIR10	train	train
AT1G05410.TAIR10	validation	test,validation
AT1G05420.TAIR10	train	train
AT1G05430.TAIR10	train	train
AT1G05440.TAIR10	train	train
AT1G05450.TAIR10	train	train
AT1G05460.TAIR10	train	train
AT1G05470.TAIR10	train	train
AT1G05490.TAIR10	train	train
AT1G05500.TAIR10	train	train
AT1G05510.TAIR10	train	train
AT1G05520.TAIR10	train	train
AT1G05530.TAIR10	train	train
AT1G05540.TAIR10	train	train
AT1G05550.TAIR10	train	test,train
AT1G05560.TAIR10	train	train
AT1G05570.TAIR10	train	train
AT1G05575.TAIR10	train	train
AT1G05577.TAIR10	validation	validation
AT1G05580.TAIR10	train	train,validation
AT1G05590.TAIR10	train	train
AT1G05600.TAIR10	train	test,train
AT1G05610.TAIR10	validation	validation
AT1G05615.TAIR10	train	train
AT1G05620.TAIR10	train	test,train
AT1G05630.TAIR10	train	train
AT1G05640.TAIR10	train	train
AT1G05650.TAIR10	train	train
AT1G05660.TAIR10	train	train
AT1G05670.TAIR10	train	train
AT1G05675.TAIR10	train	train
AT1G05680.TAIR10	validation	validation
AT1G05690.TAIR10	train	train
AT1G05700.TAIR10	train	train
AT1G05710.TAIR10	train	train
AT1G05720.TAIR10	train	train
AT1G05730.TAIR10	train	train
AT1G05740.TAIR10	train	train
AT1G05750.TAIR10	train	train
AT1G05760.TAIR10	test	test
AT1G05770.TAIR10	train	train
AT1G05780.TAIR10	train	train
AT1G05785.TAIR10	train	train
AT1G05790.TAIR10	train	train
AT1G05800.TAIR10	validation	validation
AT1G05805.TAIR10	train	train
AT1G05810.TAIR10	train	train
AT1G05820.TAIR10	train	train,validation
AT1G05830.TAIR10	train	test,train
AT1G05835.TAIR10	train	train
AT1G05840.TAIR10	test	test
AT1G05850.TAIR10	train	train
AT1G05860.TAIR10	validation	validation
AT1G05870.TAIR10	train	train
AT1G05880.TAIR10	train	train
AT1G05890.TAIR10	validation	test,validation
AT1G05894.TAIR10	train	train
AT1G05900.TAIR10	train	test,train
AT1G05910.TAIR10	train	train
AT1G05920.TAIR10	test	test
AT1G05925.TAIR10	train	train
AT1G05930.TAIR10	test	test
AT1G05940.TAIR10	validation	validation
AT1G05950.TAIR10	train	train
AT1G05960.TAIR10	train	train,validation
AT1G05970.TAIR10	validation	test,validation
AT1G05990.TAIR10	train	train
AT1G06000.TAIR10	train	train
AT1G06010.TAIR10	test	test
AT1G06020.TAIR10	train	train
AT1G06030.TAIR10	train	train
AT1G06040.TAIR10	train	train
AT1G06050.TAIR10	train	train
AT1G06060.TAIR10	train	train
AT1G06070.TAIR10	validation	validation
AT1G06080.TAIR10	train	train
AT1G06090.TAIR10	test	test
AT1G06100.TAIR10	train	train
AT1G06110.TAIR10	train	train
AT1G06120.TAIR10	validation	validation
AT1G06130.TAIR10	train	train
AT1G06135.TAIR10	test	test
AT1G06137.TAIR10	test	test
AT1G06140.TAIR10	test	test
AT1G06148.TAIR10	train	train
AT1G06149.TAIR10	train	train
AT1G06150.TAIR10	train	test,train
AT1G06160.TAIR10	train	train
AT1G06170.TAIR10	train	test,train
AT1G06180.TAIR10	validation	validation
AT1G06190.TAIR10	train	train
AT1G06200.TAIR10	train	train
AT1G06210.TAIR10	train	train
AT1G06220.TAIR10	train	train
AT1G06225.TAIR10	train	train
AT1G06230.TAIR10	train	train
AT1G06240.TAIR10	train	train
AT1G06250.TAIR10	train	train
AT1G06260.TAIR10	train	train
AT1G06270.TAIR10	train	train
AT1G06280.TAIR10	train	train
AT1G06290.TAIR10	train	train
AT1G06310.TAIR10	train	train
AT1G06320.TAIR10	train	train
AT1G06330.TAIR10	train	train
AT1G06340.TAIR10	train	train
AT1G06350.TAIR10	train	train
AT1G06360.TAIR10	train	train
AT1G06380.TAIR10	test	test
AT1G06390.TAIR10	train	test,train
AT1G06400.TAIR10	train	train
AT1G06410.TAIR10	test	test
AT1G06420.TAIR10	train	test,train
AT1G06430.TAIR10	train	train
AT1G06440.TAIR10	test	test
AT1G06450.TAIR10	train	train
AT1G06460.TAIR10	train	train
AT1G06470.TAIR10	train	train
AT1G06475.TAIR10	train	train
AT1G06490.TAIR10	train	train
AT1G06500.TAIR10	train	train
AT1G06510.TAIR10	train	train
AT1G06515.TAIR10	train	train
AT1G06520.TAIR10	test	test
AT1G06530.TAIR10	train	train
AT1G06540.TAIR10	train	train
AT1G06550.TAIR10	train	train
AT1G06560.TAIR10	train	train
AT1G06570.TAIR10	train	test,train
AT1G06580.TAIR10	validation	validation
AT1G06590.TAIR10	train	train
AT1G06620.TAIR10	train	train
AT1G06630.TAIR10	train	train
AT1G06640.TAIR10	train	test,train
AT1G06645.TAIR10	test	test
AT1G06650.TAIR10	train	train
AT1G06660.TAIR10	train	train
AT1G06670.TAIR10	train	train
AT1G06680.TAIR10	train	train
AT1G06690.TAIR10	train	train
AT1G06700.TAIR10	train	train
AT1G06710.TAIR10	train	train
AT1G06720.TAIR10	train	train
AT1G06730.TAIR10	train	train
AT1G06750.TAIR10	train	train
AT1G06760.TAIR10	validation	validation
AT1G06770.TAIR10	train	train
AT1G06780.TAIR10	train	train
AT1G06790.TAIR10	train	train
AT1G06800.TAIR10	train	test,train
AT1G06810.TAIR10	validation	validation
AT1G06820.TAIR10	train	train
AT1G06830.TAIR10	test	test
AT1G06840.TAIR10	validation	validation
AT1G06850.TAIR10	train	train
AT1G06870.TAIR10	train	train
AT1G06890.TAIR10	train	train,validation
AT1G06900.TAIR10	validation	validation
AT1G06910.TAIR10	train	train
AT1G06920.TAIR10	train	train
AT1G06923.TAIR10	train	train
AT1G06925.TAIR10	train	train
AT1G06930.TAIR10	train	train
AT1G06950.TAIR10	train	train
AT1G06960.TAIR10	train	test,train
AT1G06970.TAIR10	train	train
AT1G06980.TAIR10	train	train
AT1G06990.TAIR10	train	train
AT1G07000.TAIR10	train	train
AT1G07010.TAIR10	train	train,validation
AT1G07020.TAIR10	train	train
AT1G07025.TAIR10	test	test
AT1G07030.TAIR10	train	train
AT1G07040.TAIR10	train	train
AT1G07050.TAIR10	train	train
AT1G07060.TAIR10	train	train
AT1G07070.TAIR10	train	train
AT1G07080.TAIR10	train	train
AT1G07090.TAIR10	test	test
AT1G07110.TAIR10	train	train
AT1G07120.TAIR10	train	train
AT1G07130.TAIR10	train	train
AT1G07135.TAIR10	train	train
AT1G07140.TAIR10	train	train
AT1G07150.TAIR10	train	train
AT1G07160.TAIR10	train	train
AT1G07170.TAIR10	train	train
AT1G07175.TAIR10	train	train
AT1G07180.TAIR10	train	train
AT1G07190.TAIR10	train	train
AT1G07200.TAIR10	train	train
AT1G07210.TAIR10	train	train
AT1G07220.TAIR10	train	train
AT1G07230.TAIR10	train	train
AT1G07240.TAIR10	train	train
AT1G07250.TAIR10	train	train
AT1G07260.TAIR10	train	train
AT1G07270.TAIR10	train	train
AT1G07280.TAIR10	train	test,train
AT1G07300.TAIR10	train	train
AT1G07310.TAIR10	train	train
AT1G07330.TAIR10	test	test
AT1G07340.TAIR10	validation	validation
AT1G07350.TAIR10	train	train
AT1G07360.TAIR10	validation	validation
AT1G07370.TAIR10	train	train
AT1G07380.TAIR10	validation	validation
AT1G07390.TAIR10	train	train
AT1G07400.TAIR10	train	train
AT1G07410.TAIR10	train	train
AT1G07420.TAIR10	train	test,train
AT1G07430.TAIR10	train	train
AT1G07440.TAIR10	train	test,train
AT1G07450.TAIR10	train	train
AT1G07460.TAIR10	train	train
AT1G07470.TAIR10	test	test
AT1G07473.TAIR10	train	train
AT1G07476.TAIR10	train	train
AT1G07480.TAIR10	train	train,validation
AT1G07485.TAIR10	test	test
AT1G07490.TAIR10	validation	validation
AT1G07500.TAIR10	validation	validation
AT1G07510.TAIR10	train	train
AT1G07520.TAIR10	train	train
AT1G07530.TAIR10	test	test
AT1G07540.TAIR10	train	train
AT1G07550.TAIR10	train	train
AT1G07560.TAIR10	train	train
AT1G07570.TAIR10	train	test,train
AT1G07590.TAIR10	train	train
AT1G07600.TAIR10	train	train
AT1G07610.TAIR10	train	train
AT1G07615.TAIR10	test	test
AT1G07620.TAIR10	train	train
AT1G07630.TAIR10	train	train
AT1G07640.TAIR10	train	train
AT1G07645.TAIR10	test	test
AT1G07650.TAIR10	train	train
AT1G07660.TAIR10	train	train
AT1G07670.TAIR10	train	train
AT1G07680.TAIR10	train	train
AT1G07690.TAIR10	test	test
AT1G07700.TAIR10	train	train
AT1G07705.TAIR10	train	train
AT1G07710.TAIR10	train	train
AT1G07720.TAIR10	train	train
AT1G07725.TAIR10	train	train
AT1G07730.TAIR10	validation	validation
AT1G07740.TAIR10	validation	validation
AT1G07745.TAIR10	train	train,validation
AT1G07747.TAIR10	train	train
AT1G07750.TAIR10	validation	validation
AT1G07770.TAIR10	train	train
AT1G07780.TAIR10	train	train
AT1G07790.TAIR10	train	train
AT1G07795.TAIR10	train	train
AT1G07810.TAIR10	train	train
AT1G07820.TAIR10	train	test,train
AT1G07830.TAIR10	validation	validation
AT1G07840.TAIR10	train	train
AT1G07850.TAIR10	test	test
AT1G07860.TAIR10	train	train
AT1G07870.TAIR10	test	test
AT1G07880.TAIR10	train	test,train
AT1G07885.TAIR10	train	train
AT1G07890.TAIR10	train	test,train
AT1G07900.TAIR10	train	train
AT1G07901.TAIR10	test	test
AT1G07910.TAIR10	train	train
AT1G07920.TAIR10	train	train
AT1G07930.TAIR10	train	train
AT1G07940.TAIR10	train	train,validation
AT1G07950.TAIR10	test	test
AT1G07960.TAIR10	train	train
AT1G07970.TAIR10	validation	validation
AT1G07980.TAIR10	validation	validation
AT1G07985.TAIR10	train	train
AT1G07990.TAIR10	train	train
AT1G08000.TAIR10	train	train,validation
AT1G08005.TAIR10	train	train
AT1G08010.TAIR10	train	train
AT1G08030.TAIR10	train	train
AT1G08032.TAIR10	train	train
AT1G08035.TAIR10	train	train
AT1G08040.TAIR10	train	test,train
AT1G08050.TAIR10	train	train
AT1G08060.TAIR10	train	test,train
AT1G08065.TAIR10	test	test
AT1G08070.TAIR10	train	train
AT1G08080.TAIR10	train	train
AT1G08090.TAIR10	train	train
AT1G08100.TAIR10	train	train
AT1G08110.TAIR10	train	train,validation
AT1G08120.TAIR10	train	train
AT1G08125.TAIR10	train	train
AT1G08130.TAIR10	train	train
AT1G08135.TAIR10	train	train
AT1G08140.TAIR10	train	train
AT1G08150.TAIR10	train	train
AT1G08160.TAIR10	train	train
AT1G08165.TAIR10	train	train
AT1G08170.TAIR10	test	test
AT1G08180.TAIR10	test	test
AT1G08190.TAIR10	validation	validation
AT1G08200.TAIR10	train	train
AT1G08210.TAIR10	train	train
AT1G08220.TAIR10	train	train
AT1G08230.TAIR10	train	train
AT1G08250.TAIR10	train	train
AT1G08260.TAIR10	train	train
AT1G08270.TAIR10	train	train
AT1G08280.TAIR10	train	train
AT1G08290.TAIR10	train	train
AT1G08300.TAIR10	train	train
AT1G08310.TAIR10	train	train
AT1G08315.TAIR10	train	train
AT1G08320.TAIR10	test	test
AT1G08340.TAIR10	train	train
AT1G08350.TAIR10	train	test,train
AT1G08360.TAIR10	train	train
AT1G08370.TAIR10	train	train
AT1G08380.TAIR10	train	train
AT1G08390.TAIR10	train	train
AT1G08400.TAIR10	train	train
AT1G08410.TAIR10	train	train
AT1G08420.TAIR10	train	train,validation
AT1G08430.TAIR10	train	train
AT1G08440.TAIR10	train	train
AT1G08450.TAIR10	train	train
AT1G08460.TAIR10	train	train
AT1G08465.TAIR10	validation	validation
AT1G08470.TAIR10	train	train
AT1G08480.TAIR10	test	test
AT1G08490.TAIR10	test	test
AT1G08500.TAIR10	train	train
AT1G08510.TAIR10	train	train
AT1G08520.TAIR10	test	test
AT1G08530.TAIR10	train	train
AT1G08540.TAIR10	train	train
AT1G08550.TAIR10	train	train
AT1G08560.TAIR10	train	train
