locus	category	additions	additions_matching_TAIR10_alt
AT1G02780	train	0	0
AT1G02790	train	0	0
AT1G02800	test	0	0
AT1G02810	train	0	0
AT1G02813	train	0	0
AT1G02816	train	0	0
AT1G02820	train	0	0
AT1G02830	train	0	0
AT1G02840	train	0	0
AT1G02850	train	0	0
AT1G02860	train	0	0
AT1G02870	train	0	0
AT1G02880	train	1	0
AT1G02890	train	0	0
AT1G02900	train	0	0
AT1G02910	train	0	0
AT1G02920	train	0	0
AT1G02930	train	1	0
AT1G02940	train	0	0
AT1G02950	train	1	0
AT1G02960	train	0	0
AT1G02965	train	0	0
AT1G02970	test	0	0
AT1G02980	train	0	0
AT1G02990	train	0	0
AT1G03000	train	0	0
AT1G03010	train	0	0
AT1G03020	test	0	0
AT1G03022	train	0	0
AT1G03030	validation	0	0
AT1G03040	train	1	1
AT1G03050	train	0	0
AT1G03055	train	0	0
AT1G03060	train	0	0
AT1G03070	train	0	0
AT1G03080	train	0	0
AT1G03090	train	0	0
AT1G03100	train	0	0
AT1G03103	train	0	0
AT1G03106	train	0	0
AT1G03110	train	0	0
AT1G03120	train	0	0
AT1G03130	train	0	0
AT1G03140	train	0	0
AT1G03150	validation	0	0
AT1G03160	train	1	0
AT1G03170	train	0	0
AT1G03180	train	0	0
AT1G03190	train	0	0
AT1G03200	validation	0	0
AT1G03210	train	0	0
AT1G03220	train	0	0
AT1G03230	train	0	0
AT1G03240	test	0	0
AT1G03250	train	1	0
AT1G03260	train	0	0
AT1G03270	train	0	0
AT1G03280	validation	0	0
AT1G03290	train	0	0
AT1G03300	test	0	0
AT1G03310	train	0	0
AT1G03320	train	0	0
AT1G03330	test	0	0
AT1G03340	train	0	0
AT1G03350	train	0	0
AT1G03360	train	0	0
AT1G03365	train	0	0
AT1G03370	validation	0	0
AT1G03380	train	0	0
AT1G03390	train	0	0
AT1G03400	train	0	0
AT1G03410	train	0	0
AT1G03430	test	0	0
AT1G03440	train	0	0
AT1G03445	test	0	0
AT1G03457	train	1	0
AT1G03470	train	0	0
AT1G03475	test	0	0
AT1G03490	train	0	0
AT1G03495	not_in_db	0	0
AT1G03510	validation	0	0
AT1G03520	train	0	0
AT1G03530	train	0	0
AT1G03540	train	0	0
AT1G03550	train	0	0
AT1G03560	train	0	0
AT1G03590	train	0	0
AT1G03600	train	0	0
AT1G03610	train	0	0
AT1G03620	train	0	0
AT1G03630	train	0	0
AT1G03650	train	0	0
AT1G03660	validation	0	0
AT1G03670	train	0	0
AT1G03680	train	0	0
AT1G03687	test	1	0
AT1G03700	test	0	0
AT1G03710	train	0	0
AT1G03720	train	0	0
AT1G03730	test	0	0
AT1G03740	train	0	0
AT1G03750	test	0	0
AT1G03760	test	0	0
AT1G03770	train	0	0
AT1G03780	train	0	0
AT1G03790	train	0	0
AT1G03800	train	0	0
AT1G03810	train	0	0
AT1G03820	train	0	0
AT1G03830	train	0	0
AT1G03840	train	0	0
AT1G03850	train	0	0
AT1G03860	train	0	0
AT1G03870	train	0	0
AT1G03880	train	0	0
AT1G03890	test	0	0
AT1G03900	train	0	0
AT1G03905	train	0	0
AT1G03910	train	0	0
AT1G03920	train	0	0
AT1G03930	train	0	0
AT1G03940	test	0	0
AT1G03950	train	0	0
AT1G03960	train	0	0
AT1G03970	train	0	0
AT1G03980	train	0	0
AT1G03982	validation	1	0
AT1G03990	train	0	0
AT1G04000	train	0	0
AT1G04010	train	0	0
AT1G04020	train	0	0
AT1G04030	test	0	0
AT1G04040	train	0	0
AT1G04050	validation	0	0
AT1G04070	train	0	0
AT1G04080	train	0	0
AT1G04090	train	0	0
AT1G04100	train	0	0
AT1G04110	train	0	0
AT1G04120	train	0	0
AT1G04130	validation	0	0
AT1G04140	train	0	0
AT1G04150	test	0	0
AT1G04160	train	0	0
AT1G04170	train	0	0
AT1G04171	train	0	0
AT1G04180	train	0	0
AT1G04190	train	0	0
AT1G04200	train	0	0
AT1G04210	train	0	0
AT1G04220	train	0	0
AT1G04230	train	0	0
AT1G04240	train	0	0
AT1G04250	test	0	0
AT1G04260	train	0	0
AT1G04270	train	1	1
AT1G04280	train	0	0
AT1G04290	train	0	0
AT1G04300	train	0	0
AT1G04310	train	0	0
AT1G04330	train	0	0
AT1G04340	train	0	0
AT1G04350	train	0	0
AT1G04360	train	0	0
AT1G04370	test	0	0
AT1G04380	train	0	0
AT1G04390	test	0	0
AT1G04400	train	0	0
AT1G04410	train	0	0
AT1G04420	train	0	0
AT1G04430	train	0	0
AT1G04440	train	0	0
AT1G04445	train	0	0
AT1G04450	test	0	0
AT1G04470	train	0	0
AT1G04480	train	0	0
AT1G04490	train	0	0
AT1G04500	train	0	0
AT1G04501	train	0	0
AT1G04510	train	0	0
AT1G04520	train	0	0
AT1G04530	train	0	0
AT1G04540	validation	0	0
AT1G04550	train	1	0
AT1G04555	test	0	0
AT1G04560	train	0	0
AT1G04570	train	0	0
AT1G04580	test	0	0
AT1G04590	train	0	0
AT1G04600	train	0	0
AT1G04610	train	0	0
AT1G04620	validation	0	0
AT1G04625	train	0	0
AT1G04630	train	0	0
AT1G04635	train	0	0
AT1G04640	train	0	0
AT1G04645	train	0	0
AT1G04650	train	0	0
AT1G04660	train	0	0
AT1G04670	train	0	0
AT1G04680	train	0	0
AT1G04684	test	0	0
AT1G04690	train	0	0
AT1G04700	train	0	0
AT1G04710	test	0	0
AT1G04730	test	0	0
AT1G04750	train	0	0
AT1G04760	train	0	0
AT1G04770	train	0	0
AT1G04778	train	0	0
AT1G04780	train	0	0
AT1G04790	train	0	0
AT1G04800	train	0	0
AT1G04810	train	0	0
AT1G04820	train	0	0
AT1G04830	train	0	0
AT1G04840	test	0	0
AT1G04850	train	0	0
AT1G04860	train	0	0
AT1G04870	train	0	0
AT1G04880	train	0	0
AT1G04890	train	0	0
AT1G04900	train	0	0
AT1G04910	train	0	0
AT1G04920	train	0	0
AT1G04930	train	0	0
AT1G04940	train	0	0
AT1G04945	train	0	0
AT1G04950	train	0	0
AT1G04960	train	0	0
AT1G04970	train	0	0
AT1G04980	train	0	0
AT1G04985	test	0	0
AT1G04990	train	0	0
AT1G05000	train	0	0
AT1G05010	validation	0	0
AT1G05020	train	0	0
AT1G05030	train	0	0
AT1G05040	train	0	0
AT1G05055	test	0	0
AT1G05060	test	0	0
AT1G05065	train	0	0
AT1G05070	train	0	0
AT1G05080	train	0	0
AT1G05085	train	0	0
AT1G05090	train	0	0
AT1G05100	train	0	0
AT1G05120	train	0	0
AT1G05136	train	0	0
AT1G05140	train	0	0
AT1G05150	train	0	0
AT1G05160	train	0	0
AT1G05170	train	0	0
AT1G05180	train	0	0
AT1G05190	train	0	0
AT1G05200	train	0	0
AT1G05205	train	0	0
AT1G05210	train	0	0
AT1G05220	train	0	0
AT1G05230	validation	0	0
AT1G05240	train	0	0
AT1G05250	train	0	0
AT1G05260	train	0	0
AT1G05270	validation	0	0
AT1G05280	train	0	0
AT1G05290	train	0	0
AT1G05291	train	0	0
AT1G05300	validation	0	0
AT1G05310	train	0	0
AT1G05320	train	0	0
AT1G05330	train	0	0
AT1G05340	train	0	0
AT1G05350	train	0	0
AT1G05360	train	0	0
AT1G05370	train	0	0
AT1G05380	validation	0	0
AT1G05385	train	0	0
AT1G05400	train	0	0
AT1G05410	validation	0	0
AT1G05420	train	0	0
AT1G05430	train	0	0
AT1G05440	train	0	0
AT1G05450	train	0	0
AT1G05460	train	0	0
AT1G05470	train	0	0
AT1G05490	train	0	0
AT1G05500	train	0	0
AT1G05510	train	0	0
AT1G05520	train	0	0
AT1G05530	train	0	0
AT1G05540	train	0	0
AT1G05550	train	0	0
AT1G05560	train	0	0
AT1G05570	train	0	0
AT1G05575	train	0	0
AT1G05577	validation	0	0
AT1G05580	train	0	0
AT1G05590	train	0	0
AT1G05600	train	0	0
AT1G05610	validation	0	0
AT1G05615	train	0	0
AT1G05620	train	0	0
AT1G05630	train	0	0
AT1G05640	train	0	0
AT1G05650	train	0	0
AT1G05660	train	0	0
AT1G05670	train	0	0
AT1G05675	train	0	0
AT1G05680	validation	0	0
AT1G05690	train	0	0
AT1G05700	train	0	0
AT1G05710	train	0	0
AT1G05720	train	0	0
AT1G05730	train	0	0
AT1G05740	train	0	0
AT1G05750	train	0	0
AT1G05760	test	0	0
AT1G05770	train	0	0
AT1G05780	train	0	0
AT1G05785	train	0	0
AT1G05790	train	0	0
AT1G05800	validation	0	0
AT1G05805	train	0	0
AT1G05810	train	0	0
AT1G05820	train	0	0
AT1G05830	train	0	0
AT1G05835	train	0	0
AT1G05840	test	0	0
AT1G05850	train	0	0
AT1G05860	validation	0	0
AT1G05870	train	0	0
AT1G05880	train	0	0
AT1G05890	validation	1	1
AT1G05894	train	0	0
AT1G05900	train	1	0
AT1G05910	train	0	0
AT1G05920	test	0	0
AT1G05925	train	0	0
AT1G05930	test	0	0
AT1G05940	validation	0	0
AT1G05950	train	0	0
AT1G05960	train	0	0
AT1G05970	validation	0	0
AT1G05990	train	0	0
AT1G06000	train	0	0
AT1G06010	test	0	0
AT1G06020	train	0	0
AT1G06030	train	0	0
AT1G06040	train	0	0
AT1G06050	train	0	0
AT1G06060	train	0	0
AT1G06070	validation	0	0
AT1G06080	train	0	0
AT1G06090	test	0	0
AT1G06100	train	0	0
AT1G06110	train	0	0
AT1G06120	validation	0	0
AT1G06130	train	1	0
AT1G06135	test	0	0
AT1G06137	test	0	0
AT1G06140	test	0	0
AT1G06148	train	0	0
AT1G06149	train	0	0
AT1G06150	train	0	0
AT1G06160	train	0	0
AT1G06170	train	0	0
AT1G06180	validation	0	0
AT1G06190	train	0	0
AT1G06200	train	0	0
AT1G06210	train	0	0
AT1G06220	train	0	0
AT1G06225	train	0	0
AT1G06230	train	1	0
AT1G06240	train	0	0
AT1G06250	train	0	0
AT1G06260	train	0	0
AT1G06270	train	0	0
AT1G06280	train	0	0
AT1G06290	train	0	0
AT1G06310	train	0	0
AT1G06320	train	0	0
AT1G06330	train	0	0
AT1G06340	train	0	0
AT1G06350	train	0	0
AT1G06360	train	0	0
AT1G06380	test	0	0
AT1G06390	train	0	0
AT1G06400	train	0	0
AT1G06410	test	0	0
AT1G06420	train	0	0
AT1G06430	train	0	0
AT1G06440	test	0	0
AT1G06450	train	0	0
AT1G06460	train	0	0
AT1G06470	train	0	0
AT1G06475	train	0	0
AT1G06490	train	0	0
AT1G06500	train	0	0
AT1G06510	train	0	0
AT1G06515	train	0	0
AT1G06520	test	0	0
AT1G06530	train	0	0
AT1G06540	train	0	0
AT1G06550	train	0	0
AT1G06560	train	0	0
AT1G06570	train	0	0
AT1G06580	validation	0	0
AT1G06590	train	0	0
AT1G06620	train	0	0
AT1G06630	train	0	0
AT1G06640	train	0	0
AT1G06645	test	0	0
AT1G06650	train	0	0
AT1G06660	train	0	0
AT1G06670	train	0	0
AT1G06680	train	0	0
AT1G06690	train	0	0
AT1G06700	train	0	0
AT1G06710	train	0	0
AT1G06720	train	0	0
AT1G06730	train	0	0
AT1G06750	train	1	0
AT1G06760	validation	0	0
AT1G06770	train	1	0
AT1G06780	train	0	0
AT1G06790	train	0	0
AT1G06800	train	0	0
AT1G06810	validation	0	0
AT1G06820	train	0	0
AT1G06830	test	0	0
AT1G06840	validation	0	0
AT1G06850	train	0	0
AT1G06870	train	0	0
AT1G06890	train	0	0
AT1G06900	validation	0	0
AT1G06910	train	0	0
AT1G06920	train	0	0
AT1G06923	train	0	0
AT1G06925	train	0	0
AT1G06930	train	0	0
AT1G06950	train	0	0
AT1G06960	train	0	0
AT1G06970	train	0	0
AT1G06980	train	0	0
AT1G06990	train	0	0
AT1G07000	train	0	0
AT1G07010	train	0	0
AT1G07020	train	0	0
AT1G07025	test	0	0
AT1G07030	train	0	0
AT1G07040	train	0	0
AT1G07050	train	0	0
AT1G07060	train	0	0
AT1G07070	train	0	0
AT1G07080	train	0	0
AT1G07090	test	0	0
AT1G07110	train	0	0
AT1G07120	train	0	0
AT1G07130	train	0	0
AT1G07135	train	0	0
AT1G07140	train	0	0
AT1G07150	train	0	0
AT1G07160	train	0	0
AT1G07170	train	0	0
AT1G07175	train	0	0
AT1G07180	train	0	0
AT1G07190	train	0	0
AT1G07200	train	0	0
AT1G07210	train	0	0
AT1G07220	train	0	0
AT1G07230	train	0	0
AT1G07240	train	0	0
AT1G07250	train	0	0
AT1G07260	train	0	0
AT1G07270	train	0	0
AT1G07280	train	0	0
AT1G07290	not_in_db	0	0
AT1G07300	train	0	0
AT1G07310	train	0	0
AT1G07320	not_in_db	1	0
AT1G07330	test	0	0
AT1G07340	validation	0	0
AT1G07350	train	0	0
AT1G07360	validation	0	0
AT1G07370	train	0	0
AT1G07380	validation	0	0
AT1G07390	train	1	0
AT1G07400	train	0	0
AT1G07410	train	0	0
AT1G07420	train	0	0
AT1G07430	train	0	0
AT1G07440	train	0	0
AT1G07450	train	0	0
AT1G07460	train	0	0
AT1G07470	test	0	0
AT1G07473	train	0	0
AT1G07476	train	0	0
AT1G07480	train	0	0
AT1G07485	test	0	0
AT1G07490	validation	0	0
AT1G07500	validation	0	0
AT1G07510	train	0	0
AT1G07520	train	0	0
AT1G07530	test	0	0
AT1G07540	train	0	0
AT1G07550	train	0	0
AT1G07560	train	0	0
AT1G07570	train	0	0
AT1G07590	train	0	0
AT1G07600	train	0	0
AT1G07610	train	0	0
AT1G07615	test	0	0
AT1G07620	train	0	0
AT1G07630	train	0	0
AT1G07640	train	1	1
AT1G07645	test	0	0
AT1G07650	train	0	0
AT1G07660	train	0	0
AT1G07670	train	0	0
AT1G07680	train	0	0
AT1G07690	test	0	0
AT1G07700	train	0	0
AT1G07705	train	0	0
AT1G07710	train	0	0
AT1G07720	train	0	0
AT1G07725	train	0	0
AT1G07730	validation	0	0
AT1G07740	validation	0	0
AT1G07745	train	0	0
AT1G07747	train	0	0
AT1G07750	validation	0	0
AT1G07770	train	0	0
AT1G07780	train	0	0
AT1G07790	train	0	0
AT1G07795	train	0	0
AT1G07810	train	0	0
AT1G07820	train	0	0
AT1G07830	validation	0	0
AT1G07840	train	0	0
AT1G07850	test	0	0
AT1G07860	train	0	0
AT1G07870	test	0	0
AT1G07880	train	0	0
AT1G07885	train	0	0
AT1G07890	train	0	0
AT1G07900	train	0	0
AT1G07901	test	0	0
AT1G07910	train	0	0
AT1G07920	train	0	0
AT1G07930	train	0	0
AT1G07940	train	0	0
AT1G07950	test	0	0
AT1G07960	train	0	0
AT1G07970	validation	0	0
AT1G07980	validation	0	0
AT1G07985	train	0	0
AT1G07990	train	0	0
AT1G08000	train	0	0
AT1G08005	train	0	0
AT1G08010	train	0	0
AT1G08030	train	0	0
AT1G08032	train	0	0
AT1G08035	train	0	0
AT1G08040	train	0	0
AT1G08050	train	0	0
AT1G08060	train	0	0
AT1G08065	test	0	0
AT1G08070	train	0	0
AT1G08080	train	0	0
AT1G08090	train	0	0
AT1G08100	train	0	0
AT1G08110	train	0	0
AT1G08120	train	0	0
AT1G08125	train	0	0
AT1G08130	train	0	0
AT1G08135	train	0	0
AT1G08140	train	0	0
AT1G08150	train	0	0
AT1G08160	train	0	0
AT1G08165	train	0	0
AT1G08170	test	0	0
AT1G08180	test	0	0
AT1G08190	validation	0	0
AT1G08200	train	0	0
AT1G08210	train	0	0
AT1G08220	train	0	0
AT1G08230	train	0	0
AT1G08250	train	0	0
AT1G08260	train	0	0
AT1G08270	train	0	0
AT1G08280	train	0	0
AT1G08290	train	0	0
AT1G08300	train	0	0
AT1G08310	train	0	0
AT1G08315	train	0	0
AT1G08320	test	0	0
AT1G08340	train	0	0
AT1G08350	train	0	0
AT1G08360	train	0	0
AT1G08370	train	0	0
AT1G08380	train	0	0
AT1G08390	train	0	0
AT1G08400	train	0	0
AT1G08410	train	0	0
AT1G08420	train	0	0
AT1G08430	train	0	0
AT1G08440	train	0	0
AT1G08450	train	0	0
AT1G08460	train	0	0
AT1G08465	validation	0	0
AT1G08470	train	0	0
AT1G08480	test	0	0
AT1G08490	test	0	0
AT1G08500	train	0	0
AT1G08510	train	0	0
AT1G08520	test	0	0
AT1G08530	train	0	0
AT1G08540	train	0	0
AT1G08550	train	0	0
AT1G08560	train	0	0
AT1G08570	train	1	1
AT1G08580	train	0	0
AT1G08590	train	0	0
AT1G08600	train	0	0
AT1G08610	validation	0	0
AT1G08620	train	0	0
AT1G08630	train	1	0
AT1G08640	train	0	0
AT1G08650	train	0	0
AT1G08660	train	0	0
AT1G08670	train	0	0
AT1G08680	train	0	0
AT1G08695	test	0	0
AT1G08700	test	0	0
AT1G08710	train	1	0
AT1G08720	train	0	0
AT1G08730	train	0	0
AT1G08750	train	0	0
AT1G08760	train	0	0
AT1G08770	test	0	0
AT1G08780	train	0	0
AT1G08790	train	0	0
AT1G08800	train	0	0
AT1G08810	train	0	0
AT1G08820	train	0	0
AT1G08830	train	0	0
AT1G08840	train	0	0
AT1G08845	train	0	0
AT1G08860	train	0	0
AT1G08880	train	0	0
AT1G08890	train	0	0
AT1G08900	train	1	0
AT1G08910	train	0	0
AT1G08920	train	0	0
AT1G08930	train	0	0
AT1G08940	test	0	0
AT1G08960	test	0	0
AT1G08970	train	0	0
AT1G08980	test	0	0
AT1G08985	train	0	0
AT1G08990	train	0	0
AT1G09000	validation	0	0
AT1G09010	train	0	0
AT1G09020	train	0	0
AT1G09026	train	0	0
AT1G09030	train	0	0
AT1G09040	train	0	0
AT1G09050	validation	0	0
AT1G09060	train	0	0
AT1G09070	test	0	0
AT1G09080	train	0	0
AT1G09090	train	0	0
AT1G09100	train	0	0
AT1G09130	train	0	0
AT1G09140	train	0	0
AT1G09150	train	0	0
AT1G09155	train	0	0
AT1G09157	test	0	0
AT1G09160	train	0	0
AT1G09170	train	0	0
AT1G09176	test	0	0
AT1G09180	validation	0	0
AT1G09190	validation	0	0
AT1G09195	train	0	0
AT1G09200	train	0	0
AT1G09210	test	0	0
AT1G09220	train	0	0
AT1G09230	train	0	0
AT1G09240	test	0	0
AT1G09245	train	0	0
AT1G09250	train	0	0
AT1G09260	train	0	0
AT1G09270	validation	0	0
AT1G09280	train	0	0
AT1G09290	train	0	0
AT1G09300	train	0	0
AT1G09310	validation	0	0
AT1G09320	validation	0	0
AT1G09330	train	0	0
AT1G09340	test	0	0
AT1G09350	train	0	0
AT1G09360	train	0	0
AT1G09370	validation	0	0
AT1G09380	train	0	0
AT1G09390	train	0	0
AT1G09400	train	0	0
AT1G09410	train	0	0
AT1G09415	test	0	0
AT1G09420	validation	1	0
AT1G09430	train	0	0
AT1G09440	train	0	0
AT1G09450	train	0	0
AT1G09460	validation	0	0
AT1G09470	train	1	0
AT1G09480	train	0	0
AT1G09483	train	0	0
AT1G09490	train	0	0
AT1G09500	train	1	0
AT1G09510	test	0	0
AT1G09520	test	0	0
AT1G09530	train	0	0
AT1G09540	train	0	0
AT1G09550	test	0	0
AT1G09560	train	0	0
AT1G09570	train	0	0
AT1G09575	train	0	0
AT1G09580	train	0	0
AT1G09590	test	0	0
AT1G09600	train	0	0
AT1G09610	train	0	0
AT1G09620	train	0	0
AT1G09625	test	0	0
AT1G09630	train	0	0
AT1G09640	train	0	0
AT1G09645	train	0	0
AT1G09650	train	0	0
AT1G09660	train	0	0
AT1G09665	train	0	0
AT1G09680	train	0	0
AT1G09690	train	0	0
AT1G09700	test	0	0
AT1G09710	train	1	1
AT1G09720	validation	0	0
AT1G09730	train	0	0
AT1G09740	test	0	0
AT1G09750	train	0	0
AT1G09760	validation	0	0
AT1G09770	train	0	0
AT1G09780	train	0	0
AT1G09790	train	0	0
AT1G09794	train	0	0
AT1G09795	train	0	0
AT1G09800	test	0	0
AT1G09810	train	0	0
AT1G09812	validation	0	0
AT1G09815	validation	0	0
AT1G09820	test	0	0
AT1G09830	validation	0	0
AT1G09840	train	0	0
AT1G09850	test	0	0
AT1G09860	train	0	0
AT1G09870	train	0	0
AT1G09880	test	0	0
AT1G09890	train	0	0
AT1G09900	validation	0	0
AT1G09910	train	0	0
AT1G09920	validation	0	0
AT1G09930	train	0	0
AT1G09932	train	0	0
AT1G09935	train	0	0
AT1G09940	train	0	0
AT1G09950	train	0	0
AT1G09960	train	0	0
AT1G09970	train	0	0
AT1G09980	train	0	0
AT1G09995	train	0	0
AT1G10000	train	0	0
AT1G10010	train	0	0
AT1G10020	train	0	0
AT1G10030	test	0	0
AT1G10040	train	0	0
AT1G10050	test	0	0
AT1G10060	train	0	0
AT1G10070	train	0	0
AT1G10090	train	0	0
AT1G10095	validation	0	0
AT1G10100	train	0	0
AT1G10110	validation	0	0
AT1G10120	train	0	0
AT1G10130	train	0	0
AT1G10140	train	0	0
AT1G10150	train	0	0
AT1G10155	train	0	0
AT1G10170	validation	0	0
AT1G10180	test	0	0
AT1G10190	test	0	0
AT1G10200	train	0	0
AT1G10210	train	0	0
AT1G10220	train	0	0
AT1G10230	train	0	0
AT1G10240	train	0	0
AT1G10250	test	0	0
AT1G10270	train	0	0
AT1G10280	train	0	0
AT1G10290	train	0	0
AT1G10300	train	0	0
AT1G10310	train	0	0
AT1G10320	train	0	0
AT1G10330	train	0	0
AT1G10340	train	1	1
AT1G10350	train	0	0
AT1G10360	train	0	0
AT1G10370	train	0	0
AT1G10380	train	0	0
AT1G10385	train	0	0
AT1G10390	train	0	0
AT1G10400	validation	0	0
AT1G10410	validation	0	0
AT1G10417	train	0	0
AT1G10430	train	0	0
AT1G10450	train	0	0
AT1G10455	train	0	0
AT1G10460	train	0	0
AT1G10470	train	0	0
AT1G10480	train	0	0
AT1G10490	train	0	0
AT1G10500	validation	0	0
AT1G10510	train	0	0
AT1G10520	train	0	0
AT1G10522	train	0	0
AT1G10530	test	0	0
AT1G10540	train	0	0
AT1G10550	train	0	0
AT1G10560	train	0	0
AT1G10570	train	0	0
AT1G10580	test	0	0
AT1G10585	train	0	0
AT1G10586	train	1	0
AT1G10588	train	1	1
AT1G10590	train	0	0
AT1G10600	train	0	0
AT1G10610	train	0	0
AT1G10620	train	0	0
AT1G10630	train	0	0
AT1G10640	train	0	0
AT1G10650	train	0	0
AT1G10652	train	0	0
AT1G10657	train	1	0
AT1G10660	train	0	0
AT1G10670	train	1	1
AT1G10680	train	0	0
AT1G10690	validation	0	0
AT1G10700	test	0	0
AT1G10710	train	0	0
AT1G10717	train	0	0
AT1G10720	train	0	0
AT1G10730	test	0	0
AT1G10740	validation	1	0
AT1G10745	train	0	0
AT1G10747	test	0	0
AT1G10750	test	0	0
AT1G10760	train	0	0
AT1G10770	train	0	0
AT1G10780	train	0	0
AT1G10790	train	0	0
AT1G10800	train	0	0
AT1G10810	train	0	0
AT1G10820	train	0	0
AT1G10830	train	0	0
AT1G10840	train	0	0
AT1G10850	train	0	0
AT1G10865	train	0	0
AT1G10870	train	0	0
AT1G10880	train	0	0
AT1G10890	train	0	0
AT1G10900	validation	0	0
AT1G10910	train	0	0
AT1G10920	train	1	0
AT1G10930	validation	0	0
